Date: 100.659110398 | Trip: 1183 | Vehicle ID: 450 | Total Distance: 11.640 km | Total Time: 1039.700 secs | Total Idling Time: 244.700 secs | Total Fuel Consumed: 0.583 L | Total CO2 Emissions: 737.566 g
Date: 100.712078537 | Trip: 1184 | Vehicle ID: 450 | Total Distance: 9.032 km | Total Time: 687.200 secs | Total Idling Time: 75.000 secs | Total Fuel Consumed: 0.463 L | Total CO2 Emissions: 561.799 g
Date: 101.921667074 | Trip: 1190 | Vehicle ID: 450 | Total Distance: 2.954 km | Total Time: 279.400 secs | Total Idling Time: 80.800 secs | Total Fuel Consumed: 0.148 L | Total CO2 Emissions: 196.286 g
Date: 102.886250148 | Trip: 1194 | Vehicle ID: 450 | Total Distance: 3.034 km | Total Time: 237.200 secs | Total Idling Time: 8.800 secs | Total Fuel Consumed: 0.187 L | Total CO2 Emissions: 238.678 g
Date: 105.850716602 | Trip: 1199 | Vehicle ID: 450 | Total Distance: 1.186 km | Total Time: 96.800 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.063 L | Total CO2 Emissions: 81.195 g
Date: 106.956719944 | Trip: 1204 | Vehicle ID: 450 | Total Distance: 6.796 km | Total Time: 478.000 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.341 L | Total CO2 Emissions: 387.035 g
Date: 107.622425574 | Trip: 1205 | Vehicle ID: 450 | Total Distance: 15.825 km | Total Time: 1999.200 secs | Total Idling Time: 618.300 secs | Total Fuel Consumed: 0.954 L | Total CO2 Emissions: 1143.185 g
Date: 107.927792565 | Trip: 1209 | Vehicle ID: 450 | Total Distance: 11.709 km | Total Time: 1574.100 secs | Total Idling Time: 489.600 secs | Total Fuel Consumed: 0.642 L | Total CO2 Emissions: 818.841 g
Date: 108.622901991 | Trip: 1211 | Vehicle ID: 450 | Total Distance: 15.268 km | Total Time: 1717.600 secs | Total Idling Time: 467.800 secs | Total Fuel Consumed: 0.743 L | Total CO2 Emissions: 872.326 g
Date: 108.75466 | Trip: 1212 | Vehicle ID: 450 | Total Distance: 7.682 km | Total Time: 827.400 secs | Total Idling Time: 197.500 secs | Total Fuel Consumed: 0.397 L | Total CO2 Emissions: 445.068 g
